scenario_type,task,eligibility_level,configuration_count,both_classes_subjects_min,both_classes_subjects_p10,both_classes_subjects_median,both_classes_subjects_max,same_subject_trio_pass_rate
inner_joint,arousal,minimal_2trials,180,0,0.0,0.0,1,0.0
inner_joint,arousal,strong_2trials_2videos,180,0,0.0,0.0,1,0.0
inner_joint,arousal,weak_1trial,180,0,0.0,0.0,3,0.044444444444444446
inner_joint,valence,minimal_2trials,180,0,0.0,0.0,1,0.0
inner_joint,valence,strong_2trials_2videos,180,0,0.0,0.0,1,0.0
inner_joint,valence,weak_1trial,180,0,0.0,1.0,5,0.17777777777777778
inner_subject_only,arousal,minimal_2trials,90,0,0.0,0.0,1,0.0
inner_subject_only,arousal,strong_2trials_2videos,90,0,0.0,0.0,1,0.0
inner_subject_only,arousal,weak_1trial,90,0,0.0,2.0,5,0.2222222222222222
inner_subject_only,valence,minimal_2trials,90,0,0.0,0.0,2,0.0
inner_subject_only,valence,strong_2trials_2videos,90,0,0.0,0.0,2,0.0
inner_subject_only,valence,weak_1trial,90,0,1.0,3.0,6,0.5777777777777777
inner_video_only,arousal,minimal_2trials,90,0,0.0,0.0,1,0.0
inner_video_only,arousal,strong_2trials_2videos,90,0,0.0,0.0,1,0.0
inner_video_only,arousal,weak_1trial,90,0,0.0,1.0,4,0.2222222222222222
inner_video_only,valence,minimal_2trials,90,0,0.0,0.0,1,0.0
inner_video_only,valence,strong_2trials_2videos,90,0,0.0,0.0,1,0.0
inner_video_only,valence,weak_1trial,90,0,0.0,2.0,8,0.37777777777777777
outer_source,arousal,minimal_2trials,45,0,0.0,0.0,1,0.0
outer_source,arousal,strong_2trials_2videos,45,0,0.0,0.0,1,0.0
outer_source,arousal,weak_1trial,45,0,2.0,3.0,8,0.7555555555555555
outer_source,valence,minimal_2trials,45,0,0.0,1.0,2,0.0
outer_source,valence,strong_2trials_2videos,45,0,0.0,1.0,2,0.0
outer_source,valence,weak_1trial,45,1,3.0,6.0,11,0.9555555555555556
