repetition,role,task,label_policy,outer_cells,source_rows_min,source_rows_median,source_scored_rows_min,source_low_min,source_high_min,all_source_cells_both_classes,eligible_donors_min,eligible_donors_p10_min,eligible_donors_median_min,eligible_donors_max,zero_donor_rate_max,below_5_donor_rate_max,below_20_donor_rate_max,unique_donor_subjects_min,unique_donor_videos_min,unique_donor_quadrants_min,cells_with_any_zero_donor_anchor,cells_with_any_below_5_anchor
0,primary,arousal,discard_midpoint,9,24,45.0,21,8,7,True,3,3.0,7.0,26,0.0,0.23809523809523808,1.0,2,1,1,0,3
0,primary,arousal,midpoint_as_high,9,24,45.0,24,8,9,True,3,4.0,9.5,36,0.0,0.20833333333333334,1.0,2,3,2,0,1
0,primary,arousal,midpoint_as_low,9,24,45.0,24,12,7,True,3,3.0,8.0,28,0.0,0.20833333333333334,1.0,2,1,1,0,2
0,primary,valence,discard_midpoint,9,24,45.0,20,14,4,True,2,3.0,10.0,32,0.0,0.3,1.0,2,1,1,0,5
0,primary,valence,midpoint_as_high,9,24,45.0,24,14,7,True,5,5.0,9.0,32,0.0,0.0,1.0,3,2,1,0,0
0,primary,valence,midpoint_as_low,9,24,45.0,24,18,4,True,2,3.0,12.5,36,0.0,0.25,1.0,2,1,1,0,5
1,sensitivity,arousal,discard_midpoint,9,37,39.0,28,12,14,True,6,8.0,10.0,19,0.0,0.0,1.0,5,4,2,0,0
1,sensitivity,arousal,midpoint_as_high,9,37,39.0,37,12,19,True,6,8.0,14.0,29,0.0,0.0,1.0,5,4,2,0,0
1,sensitivity,arousal,midpoint_as_low,9,37,39.0,37,17,14,True,8,10.0,14.0,28,0.0,0.0,1.0,5,4,2,0,0
1,sensitivity,valence,discard_midpoint,9,37,39.0,30,18,7,True,3,3.0,12.0,29,0.0,0.1935483870967742,1.0,3,2,1,0,6
1,sensitivity,valence,midpoint_as_high,9,37,39.0,37,18,13,True,7,9.0,13.0,29,0.0,0.0,1.0,4,3,1,0,0
1,sensitivity,valence,midpoint_as_low,9,37,39.0,37,25,7,True,3,4.0,18.0,33,0.0,0.15384615384615385,0.8108108108108109,3,2,1,0,6
2,sensitivity,arousal,discard_midpoint,9,27,39.0,19,8,7,True,3,3.0,7.0,25,0.0,0.2631578947368421,1.0,2,2,2,0,3
2,sensitivity,arousal,midpoint_as_high,9,27,39.0,27,8,15,True,3,3.0,12.0,35,0.0,0.18518518518518517,1.0,3,3,2,0,1
2,sensitivity,arousal,midpoint_as_low,9,27,39.0,27,16,7,True,3,5.0,10.0,29,0.0,0.0967741935483871,1.0,2,2,2,0,2
2,sensitivity,valence,discard_midpoint,9,27,39.0,22,17,5,True,2,2.2,10.0,31,0.0,0.22727272727272727,1.0,2,1,1,0,7
2,sensitivity,valence,midpoint_as_high,9,27,39.0,27,17,10,True,5,6.0,9.0,31,0.0,0.0,1.0,5,2,1,0,0
2,sensitivity,valence,midpoint_as_low,9,27,39.0,27,22,5,True,2,3.2,15.0,38,0.0,0.18518518518518517,0.9629629629629629,2,1,1,0,7
3,sensitivity,arousal,discard_midpoint,9,23,39.0,20,8,7,True,4,5.0,9.0,26,0.0,0.05,1.0,3,3,2,0,2
3,sensitivity,arousal,midpoint_as_high,9,23,39.0,23,8,10,True,4,6.0,9.0,35,0.0,0.03225806451612903,1.0,3,3,2,0,1
3,sensitivity,arousal,midpoint_as_low,9,23,39.0,23,16,7,True,4,5.0,12.0,30,0.0,0.043478260869565216,1.0,4,3,2,0,1
3,sensitivity,valence,discard_midpoint,9,23,39.0,20,14,6,True,1,2.0,10.5,31,0.0,0.25,1.0,1,1,1,0,5
3,sensitivity,valence,midpoint_as_high,9,23,39.0,23,14,9,True,4,5.0,10.0,31,0.0,0.08695652173913043,1.0,3,3,2,0,1
3,sensitivity,valence,midpoint_as_low,9,23,39.0,23,17,6,True,1,2.0,12.0,39,0.0,0.21739130434782608,1.0,1,1,1,0,5
4,sensitivity,arousal,discard_midpoint,9,28,43.0,24,11,11,True,5,6.5,9.0,19,0.0,0.0,1.0,4,2,2,0,0
4,sensitivity,arousal,midpoint_as_high,9,28,43.0,28,11,15,True,5,8.0,11.0,30,0.0,0.0,1.0,4,4,2,0,0
4,sensitivity,arousal,midpoint_as_low,9,28,43.0,28,17,11,True,5,7.0,12.0,27,0.0,0.0,1.0,4,2,2,0,0
4,sensitivity,valence,discard_midpoint,9,28,43.0,24,18,6,True,2,3.3000000000000003,13.0,28,0.0,0.25,1.0,2,1,1,0,5
4,sensitivity,valence,midpoint_as_high,9,28,43.0,28,18,9,True,5,6.7,13.0,28,0.0,0.0,1.0,3,2,1,0,0
4,sensitivity,valence,midpoint_as_low,9,28,43.0,28,22,6,True,2,3.7,16.0,33,0.0,0.2,1.0,2,1,1,0,5
