video_name,canonical_quadrant,presentation_count,participant_count,participants
28 days later,B,12,12,P002;P007;P009;P012;P013;P015;P016;P018;P019;P020;P025;P026
The Champ,C,12,12,P001;P004;P005;P006;P010;P011;P012;P016;P018;P024;P027;P028
Dangerous Minds,C,10,10,P002;P007;P009;P014;P015;P017;P019;P021;P025;P026
My girl,C,10,10,P002;P003;P007;P008;P009;P011;P013;P020;P022;P023
The Visitors,A,10,10,P001;P005;P011;P018;P021;P022;P024;P025;P027;P028
Misery,B,9,9,P005;P007;P009;P011;P014;P022;P023;P024;P028
Mr. Bean,A,9,9,P002;P004;P007;P009;P015;P016;P017;P023;P026
There is something about Mary,A,7,7,P003;P006;P009;P010;P012;P014;P020
Scream,B,6,6,P001;P002;P004;P011;P021;P027
When Harry met Sally,A,6,6,P002;P007;P008;P011;P013;P019
The Shining,B,5,5,P003;P006;P008;P010;P017
Life is beautiful,C,2,2,P001;P017
Fish called Wanda,A,1,1,P017
The Exorcist,B,1,1,P001
The Shining 2,B,1,1,P017
There is something about Mary 2,A,1,1,P001
